   10000   60000
       1       2     100  100000
       1     100     100  100000
       1     101     100  100000
       1    9901     100  100000
       1    6753      44      67
       1     603     -37      68
       2       3     100  100000
       2       1     100  100000
       2     102     100  100000
       2    9902     100  100000
       2     487      36      59
       2    4398      -7      80
       3       4     100  100000
       3       2     100  100000
       3     103     100  100000
       3    9903     100  100000
       3    3473       7      62
       3    6726      42      50
       4       5     100  100000
       4       3     100  100000
       4     104     100  100000
       4    9904     100  100000
       4    4877      27      70
       4     778      12      59
       5       6     100  100000
       5       4     100  100000
       5     105     100  100000
       5    9905     100  100000
       5    5925      48      33
       5    6317      35      95
       6       7     100  100000
       6       5     100  100000
       6     106     100  100000
       6    9906     100  100000
       6    6009       8      14
       6    6978     -59      55
       7       8     100  100000
       7       6     100  100000
       7     107     100  100000
       7    9907     100  100000
       7    9574     -33      69
       7    7880      34      94
       8       9     100  100000
       8       7     100  100000
       8     108     100  100000
       8    9908     100  100000
       8    1551     -94      54
       8    2271       3      65
       9      10     100  100000
       9       8     100  100000
       9     109     100  100000
       9    9909     100  100000
       9    4179       9      17
       9     478      55      65
      10      11     100  100000
      10       9     100  100000
      10     110     100  100000
      10    9910     100  100000
      10     125      62      55
      10    1030     -95      46
      11      12     100  100000
      11      10     100  100000
      11     111     100  100000
      11    9911     100  100000
      11    1932     -58      62
      11    5268      30      48
      12      13     100  100000
      12      11     100  100000
      12     112     100  100000
      12    9912     100  100000
      12    5630     -43      88
      12    9381       3      98
      13      14     100  100000
      13      12     100  100000
      13     113     100  100000
      13    9913     100  100000
      13    9252      -8      99
      13    1736     -62      98
      14      15     100  100000
      14      13     100  100000
      14     114     100  100000
      14    9914     100  100000
      14    8646     -83      98
      14    9695     -99      24
      15      16     100  100000
      15      14     100  100000
      15     115     100  100000
      15    9915     100  100000
      15    1667      63      14
      15    4926     -93      79
      16      17     100  100000
      16      15     100  100000
      16     116     100  100000
      16    9916     100  100000
      16    5183     -45      41
      16    6336       0      25
      17      18     100  100000
      17      16     100  100000
      17     117     100  100000
      17    9917     100  100000
      17    1212      49      72
      17    1811     -12      59
      18      19     100  100000
      18      17     100  100000
      18     118     100  100000
      18    9918     100  100000
      18    5577      37      85
      18    2172     -53      99
      19      20     100  100000
      19      18     100  100000
      19     119     100  100000
      19    9919     100  100000
      19    6021      73      50
      19    5873     -54      29
      20      21     100  100000
      20      19     100  100000
      20     120     100  100000
      20    9920     100  100000
      20    5624     -62      62
      20    8192      50      89
      21      22     100  100000
      21      20     100  100000
      21     121     100  100000
      21    9921     100  100000
      21    3811      -3      99
      21    2160     -91      69
      22      23     100  100000
      22      21     100  100000
      22     122     100  100000
      22    9922     100  100000
      22    7691     -90      79
      22    8906      87      39
      23      24     100  100000
      23      22     100  100000
      23     123     100  100000
      23    9923     100  100000
      23    1285      99      64
      23    8555     -39      52
      24      25     100  100000
      24      23     100  100000
      24     124     100  100000
      24    9924     100  100000
      24    8920       3      91
      24    4628      98      58
      25      26     100  100000
      25      24     100  100000
      25     125     100  100000
      25    9925     100  100000
      25    7412      86      81
      25    8402      43      24
      26      27     100  100000
      26      25     100  100000
      26     126     100  100000
      26    9926     100  100000
      26    6520      38      92
      26    5941      90      65
      27      28     100  100000
      27      26     100  100000
      27     127     100  100000
      27    9927     100  100000
      27    8564      18      61
      27      40     -14      42
      28      29     100  100000
      28      27     100  100000
      28     128     100  100000
      28    9928     100  100000
      28      40       2      77
      28    3531     -48      37
      29      30     100  100000
      29      28     100  100000
      29     129     100  100000
      29    9929     100  100000
      29    3488     -29      90
      29    7053      50      51
      30      31     100  100000
      30      29     100  100000
      30     130     100  100000
      30    9930     100  100000
      30    9456      24      93
      30    8413     -32      45
      31      32     100  100000
      31      30     100  100000
      31     131     100  100000
      31    9931     100  100000
      31    7831      88      93
      31    3233      58      72
      32      33     100  100000
      32      31     100  100000
      32     132     100  100000
      32    9932     100  100000
      32    7596     -20      84
      32    5002      48      96
      33      34     100  100000
      33      32     100  100000
      33     133     100  100000
      33    9933     100  100000
      33    4372     -55      15
      33    3435      88      98
      34      35     100  100000
      34      33     100  100000
      34     134     100  100000
      34    9934     100  100000
      34     800      -4      29
      34    1865      25      14
      35      36     100  100000
      35      34     100  100000
      35     135     100  100000
      35    9935     100  100000
      35    6464      -8      61
      35    5023      -4      12
      36      37     100  100000
      36      35     100  100000
      36     136     100  100000
      36    9936     100  100000
      36    3608      11      45
      36    8641      70      99
      37      38     100  100000
      37      36     100  100000
      37     137     100  100000
      37    9937     100  100000
      37    1862      95      31
      37    4190      43      49
      38      39     100  100000
      38      37     100  100000
      38     138     100  100000
      38    9938     100  100000
      38    6858      32      41
      38    4513      74      96
      39      40     100  100000
      39      38     100  100000
      39     139     100  100000
      39    9939     100  100000
      39    9901       1      19
      39    6208     -48      91
      40      41     100  100000
      40      39     100  100000
      40     140     100  100000
      40    9940     100  100000
      40    2453      15      97
      40    4780     -45      76
      41      42     100  100000
      41      40     100  100000
      41     141     100  100000
      41    9941     100  100000
      41    1047      64      25
      41    2408     -79      33
      42      43     100  100000
      42      41     100  100000
      42     142     100  100000
      42    9942     100  100000
      42    6566     -31      67
      42    1579       7      69
      43      44     100  100000
      43      42     100  100000
      43     143     100  100000
      43    9943     100  100000
      43    6637      21      65
      43    7659     -85      96
      44      45     100  100000
      44      43     100  100000
      44     144     100  100000
